# BEAST v1.7.0 Prerelease r4143, r4143
# Generated Wed Jul 26 18:09:17 BST 2017 [seed=1501088955461]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(arx_obsr)	tmrca(paralog_arx)	yule.birthRate	CP1+2.kappa	CP3.kappa	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	speciation
130000	-8504.935678617852	-268.03257879185594	-8236.903099825997	2.838178051502597	0.9993623984970895	0.8743695502143751	1.3434837166465214	1.2319213377634528	4.254751231361079	0.49817642144598107	3.1283697149062997	0.6298615586065286	1.7402768827869446	0.1799912974775351	0.49000533488175163	0.17731504996424444	0.47207035911486567	-0.010768126998347049	-4042.8127218165905	-4194.090378009406	-33.11679938703703
140000	-8499.468800654187	-270.8174022340304	-8228.651398420157	3.4655370176559526	0.9994913781007562	0.9146653074825233	1.259246798106121	1.1896328826346594	4.316617669834081	0.611546336088314	3.197171729157956	0.6047028331626907	1.7905943336746204	0.14123441078677967	0.37765499111759193	0.14685966681712945	0.34016251731107094	0.017436253764002686	-4023.1549625434677	-4205.49643587669	-35.94632530269284
150000	-8490.76596436559	-270.1475349619859	-8220.618429403603	3.36258415765011	0.9994913781007562	0.9452669881899853	1.0191103005448345	1.3479538526212154	3.461066628583186	0.4931412949875488	3.3410361052567255	0.5018382875844771	1.9963234248310475	0.1402678356299687	0.3568346599867309	0.15465049176779494	0.42726615897238485	0.19254505888704285	-4017.0832617856504	-4203.5351676179525	-35.49480227055945
160000	-8502.436932016028	-276.9163762439707	-8225.520555772056	3.8012072652148565	0.9993882946871698	1.1760917412283365	1.032746788893318	1.1569165136324884	4.041951619408541	0.5197978226037802	3.0729066247467456	0.5379884965412554	1.924023006917491	0.12308909020567216	0.3917551031042906	0.1255411906872429	0.40118722271789453	-0.06510338382598022	-4015.2977073915986	-4210.222848380458	-42.47409858558861
170000	-8499.306549668849	-278.8227778167178	-8220.48377185213	4.083868285792259	0.9988660695840905	0.7758685983885334	1.1013560812051837	1.3908050687384925	4.528834735421888	0.4984128083128582	3.0126547052839996	0.57936638486394	1.8412672302721218	0.13589045615171444	0.4115042715612934	0.12994681980555686	0.4720636472367809	0.21095752268479218	-4025.916400467776	-4194.5673713843535	-43.78782332994469
180000	-8495.0712297342	-272.4577647416229	-8222.613464992577	3.162418141524582	0.9996579709743432	0.8402851438159846	1.082862645168041	1.3154711700976265	4.1618567571724565	0.4227067742284261	2.5748844188624846	0.5521620481507377	1.895675903698527	0.14176585995758556	0.4772749346650007	0.13705654632917325	0.4405176338435731	-0.013577077551237519	-4016.9002624821524	-4205.713202510425	-38.97701678583881
190000	-8493.138196034384	-279.51126469046574	-8213.626931343919	3.8071228129172567	0.9996579709743432	0.8900717285195044	0.8999043653955321	1.163914843154546	4.067116006307409	0.4633072570430419	3.401851961808404	0.5946785471535249	1.8106429056929525	0.11387590370711038	0.40880474543332473	0.11607527284724317	0.38331742789867634	-0.07859221620528631	-4016.4113363368606	-4197.215595007058	-44.59067806868261
200000	-8501.831895111787	-285.4527658574416	-8216.379129254346	4.607292727038503	0.9987902446779858	0.919264283121537	0.8546815231057271	1.3414096065210126	4.508850560579403	0.5288371726338801	2.939777902992746	0.6022035112744445	1.7955929774511132	0.10610474618477496	0.5001357905046633	0.10139939479118965	0.45546556416231077	0.10890143722343787	-4012.755832785191	-4203.623296469154	-50.1740195997216
210000	-8508.69354905481	-280.20066248132366	-8228.492886573486	3.9815867605879327	0.9987902446779858	0.9384837997539645	0.9143367181276003	1.2467005633303716	4.518819227419235	0.4295155930154762	3.27752149361451	0.5639726407972145	1.8720547184055731	0.1074674642171247	0.32969805747391623	0.10959988466651285	0.3123592482405875	0.07088535875885	-4017.4711677896544	-4211.021718783831	-44.99186799371049
220000	-8500.687581602688	-280.496732642325	-8220.190848960363	4.1763404824099135	1.0009666686282799	0.8234676915526733	0.8813778334513404	1.1440175201483422	4.674414080332778	0.5609500140588762	3.6605491406692017	0.6391211714895331	1.721757657020936	0.11979925341078781	0.38789366090813526	0.12456076966344302	0.3822187512719113	0.19174342856459697	-4025.8338349382743	-4194.357014022088	-44.34250716674131
