# BEAST v1.7.0 Prerelease r4143, r4143
# Generated Fri Jul 14 08:12:49 BST 2017 [seed=1500016368217]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(obscura_root)	tmrca(paralog_armi)	yule.birthRate	CP1+2.kappa	CP3.kappa	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	speciation
100000	-60947.32783800057	-216.38044226757776	-60730.947395733	1.0001104472502804	1.0001104472502804	0.08729156848170753	6.007191962764663	1.8185318377693456	3.679038072878205	0.5461269379549941	3.741113881435388	0.5661869669159939	1.8676260661680122	1.511819226288042	1.1663027352984936	0.757526651105822	1.3881678868888991	0.050717233563349846	-30256.636586795765	-30474.310808937233	21.74985987456298
110000	-60954.92672654902	-216.61505813484476	-60738.31166841417	0.9983728304025972	0.9983728304025972	0.08418476016614103	4.290005844324289	1.8983292928320668	3.679038072878205	0.5041520172479225	3.5376837261766547	0.5726156340209575	1.854768731958085	1.4236965659934213	1.1195049464090694	0.7561957377397514	1.3028901773694237	0.048939405767708964	-30256.23386527214	-30482.077803142027	22.233818087881094
120000	-60963.17616340233	-215.01305904673063	-60748.1631043556	0.9994250387612171	0.9994250387612171	0.07919711143559713	5.05882579509107	1.8195210819370657	3.5421375287356156	0.5495245984562968	3.864270437264183	0.5530455728771798	1.8939088542456404	1.3320612965822882	1.0977824288199882	0.7499519569364391	1.208826030560403	0.059614485835805885	-30262.214931528855	-30485.94817282674	23.278646982706586
130000	-60955.272664222	-218.06605403869978	-60737.206610183304	0.9986415806330318	0.9986415806330318	0.0742194760381791	6.258695201071488	1.8195210819370657	3.5421375287356156	0.511906849435844	3.9134731059464403	0.5556510239195184	1.8886979521609633	1.293058746951005	1.0960451904932351	0.7405054802764858	1.2659100375661827	-0.06892220902522726	-30266.871101909688	-30470.335508273616	21.000954990739764
140000	-60961.235991637666	-216.4858834406383	-60744.750108197026	0.9986887252193538	0.9986887252193538	0.07382711715759066	4.999356727171669	1.8195210819370657	3.8500976381867944	0.518162677211465	3.4930635606405915	0.5632745710660293	1.8734508578679414	1.3375761770057244	1.1152862212235128	0.7481426064041123	1.2857620686876465	-0.052538609986374524	-30262.04481285181	-30482.70529534521	21.84727209210969
150000	-60955.84255428752	-216.53346735941983	-60739.3090869281	0.9991049305638311	0.9991049305638311	0.06687193615776257	5.419954857824388	1.8458203001151106	3.8500976381867944	0.518162677211465	3.511383576693538	0.5739820657065514	1.8520358685868972	1.2999907535364892	1.155643703075252	0.7406863441895797	1.311336963312024	-0.06281509767003234	-30266.039746534676	-30473.269340393424	21.508839210301048
160000	-60948.81777033483	-217.461150437117	-60731.356619897706	0.9995266870039449	0.9995266870039449	0.06778788564804442	5.69117955734848	1.8556549278749461	3.7200512916306177	0.518162677211465	3.8783508882842743	0.5670368917335509	1.8659262165328983	1.3046081014094426	1.125924852722766	0.7186578994589121	1.2830500050314197	-0.09128272143880975	-30236.20542240762	-30495.151197490086	20.900067667133126
170000	-60957.34579273006	-217.17763292822718	-60740.16815980183	0.9994221158638843	0.9994221158638843	0.07073303894513541	5.179943888531375	1.8556549278749461	3.844631884382076	0.5414383955094397	4.01393524542995	0.5829632781568549	1.8340734436862902	1.3113654342724916	1.0920427488034024	0.7260088169944224	1.2234474035310101	-0.12605355815458114	-30238.65479198037	-30501.513367821462	21.494409814888865
180000	-60947.16835125235	-217.82120828171847	-60729.34714297063	1.0014420510717577	1.0014420510717577	0.06295740169076898	4.943774604649393	1.8337386057632656	3.844631884382076	0.53828767045547	3.4188749226305437	0.5619430041090253	1.8761139917819494	1.2888001064021046	1.1301450587155695	0.7104572145550819	1.2815344165191234	-0.10229314286589276	-30239.970618243424	-30489.37652472721	20.634001691848933
190000	-60957.20723089571	-219.0348223093956	-60738.17240858631	0.9979814994236672	0.9979814994236672	0.06446487722246166	5.2193115639190415	1.9390487068477704	3.844631884382076	0.5183320249625541	3.397904531638015	0.5453840458124914	1.909231908375017	1.2906104970755081	1.0982723896611035	0.722298463042347	1.256694445747579	-0.09193796327927801	-30269.36759110804	-30468.804817478274	20.28352940176657
