# BEAST v1.7.0 Prerelease r4143, r4143
# Generated Sat Jul 29 21:04:39 BST 2017 [seed=1501358677692]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(mael_obsr)	tmrca(paralog_mael)	yule.birthRate	CP1+2.kappa	CP3.kappa	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	speciation
42380000	-18187.580628206488	-297.1576434712274	-17890.42298473526	5.013619289524897	0.9977681768700998	1.1503168029848114	0.6126303253042884	1.5991018878650305	3.9157104434972414	0.6471488047514748	5.2206293322673	0.5416149481047948	1.9167701037904579	0.10062454221123786	0.35092916408830027	0.09531240565972808	0.3241614258034406	-0.03727172946352043	-8805.215068271225	-9085.207916464034	-56.008995143608445
42390000	-18186.75385795354	-295.6230587482243	-17891.130799205315	4.761869384933698	1.0117159552660941	1.1213118333170138	0.6606246905830977	1.6439551804125618	4.168537414389845	0.6226612826794307	5.071279410875661	0.5300248299155726	1.9399503401689027	0.11010119428670916	0.43611130673236115	0.10280622732331715	0.43436552298683084	0.04280618935167452	-8808.848419004025	-9082.28238020129	-53.79536219068636
42400000	-18187.870455510518	-294.3171636456158	-17893.5532918649	5.434741109770344	1.0047664262947404	1.1008988555179555	0.6188075215048491	1.5961413882029043	4.039023018117127	0.663782432372767	4.006077905134856	0.5323980875770522	1.935203824845944	0.10869227706611365	0.30723738154553226	0.09557165432843243	0.2964112380139084	0.11995910459217995	-8793.174242136505	-9100.379049728395	-55.559514089122686
42410000	-18192.629877462714	-294.23384915318434	-17898.39602830953	5.190423414734227	0.9917669454500458	1.1788199596352706	0.7954503943006962	1.8179988447313569	4.204928232417354	0.6491825004388855	3.811436816545869	0.5754910355909714	1.849017928818106	0.10846965306512765	0.36865631370129587	0.09859142269919167	0.34778205091513364	-0.1707979841142827	-8802.916734672599	-9095.47929363693	-55.359089910134074
42420000	-18183.51734467447	-293.3996478745758	-17890.117696799894	5.086293837717316	1.0088875299279987	1.1069398732482785	0.8050116499139337	1.7219361217816542	4.3911903609240825	0.611736593866527	3.6979642313889913	0.5452141107043369	1.9095717785913744	0.11064453386568754	0.3886691308904759	0.1036667701259887	0.36996159488100205	0.08201588612149883	-8792.93066624091	-9097.187030558984	-54.67460424449903
42430000	-18179.427632726278	-287.8549271609455	-17891.572705565333	4.295348689774238	1.0020414555204589	1.141117644586531	0.7848022633069373	1.7440809686924619	3.8307178011439826	0.625495083579787	4.831272392858904	0.5446194209095901	1.910761158180868	0.11984842282251526	0.4355237934287637	0.11591031091803129	0.3881394341002019	-0.05611271268069748	-8781.472865893566	-9110.099839671766	-47.23946094531897
42440000	-18183.836380678476	-287.4211063568954	-17896.415274321582	4.449105314688573	0.9961949282476185	1.0575063505270572	0.7302883886026653	1.7073347823834932	3.8307178011439826	0.683883588768022	4.357182000479413	0.5412644928379872	1.9174710143240736	0.12495740079295847	0.3744607655441389	0.12109717190618789	0.35874410659533384	-0.06431724881303784	-8781.963670336623	-9114.45160398496	-47.7922377641961
42450000	-18175.12849125489	-282.31336112941364	-17892.815130125477	4.125307907891684	1.0027013239410185	1.040482308311848	0.9297031467994156	1.4420793229437012	3.755743683285081	0.6967098289217626	4.576945277973738	0.5264466050496731	1.947106789900702	0.12653593203964586	0.3592151544582898	0.13550749418085561	0.33310054934697797	0.061154881222158355	-8789.847199725149	-9102.967930400326	-42.425015959389235
42460000	-18178.452982192677	-284.31794061608304	-17894.135041576596	4.22371037747934	0.9891887638637397	1.0428610556277091	0.8546249858968016	1.4616223110907207	4.001144652679532	0.7498898343473283	3.944815459102636	0.5346125047648829	1.9307749904702822	0.12352640230618711	0.3633523006847981	0.11908586300578687	0.3711701743971392	-0.013059365154624693	-8793.41447694119	-9100.720564635405	-44.955297479895236
42470000	-18183.486212389078	-284.87797587688704	-17898.60823651219	4.057212320103082	1.0023130596271894	1.1556005385219614	0.8484065520049353	1.5756977850782712	4.033730585085155	0.7340733849248064	4.218972858062218	0.5319576277698267	1.9360847444603941	0.11556842717029008	0.3822807169469547	0.12531602392301044	0.40182764119975023	-0.015571969263877038	-8787.051100143568	-9111.557136368625	-45.4289452772085
42480000	-18173.973985642762	-284.61916084210543	-17889.354824800655	3.896286834255761	1.0053821603435698	1.0578472012405422	1.0089677049957457	1.813252983645758	4.390089458601682	0.6896128848422383	4.134094338899263	0.49539243429398716	2.009215131412073	0.11991843188921439	0.4444749571027819	0.13103212168565034	0.49745774926964204	0.014645631500846721	-8800.62474415583	-9088.730080644824	-44.91420306830086
42490000	-18173.547659698812	-283.25691412805224	-17890.29074557076	3.821048477840844	0.9944524411278977	1.0401745145549046	0.9435332448200792	1.773110632341144	3.980492231439785	0.6523547978023493	4.89103250938335	0.5432579824595037	1.9134840350810398	0.1260190538507218	0.39814084940262695	0.13854667988999478	0.4276149819193699	-0.10791045172768575	-8794.028838413455	-9096.261907157306	-42.39866978895312
42500000	-18190.46084751578	-289.68421795084214	-17900.776629564938	4.325340833085605	1.005430629341101	1.042233023852091	1.0257593151187256	1.5442897846411843	3.7074726796236086	0.6653661139505427	6.874507297647717	0.5146439187679732	1.9707121624641009	0.11922433774732583	0.37605989557181463	0.12583440633468596	0.3792119623263373	-0.06419994136933652	-8794.653660196494	-9106.122969368444	-45.07191223764437
42510000	-18170.743379278334	-289.16290336685705	-17881.580475911476	4.365302702199914	0.9895531155461423	1.1023451130669975	1.127007684305408	1.5442897846411843	3.829752916993517	0.7085163261560473	6.874507297647717	0.5315530373389916	1.9368939253220645	0.12467535525977247	0.3996882389174544	0.12650003027288206	0.4347964685713077	0.047209975759029	-8779.764720094006	-9101.81575581747	-43.973275738152026
