# BEAST v1.7.0 Prerelease r4143, r4143
# Generated Sat Jul 15 19:37:44 BST 2017 [seed=1500143864037]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(obscura_root)	tmrca(paralog_cuff)	yule.birthRate	CP1+2.kappa	CP3.kappa	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	speciation
290000	-22126.70377135643	-247.17438667597938	-21879.529384680452	1.8407235587029829	0.9916635872318285	0.1772296762629825	2.096035121748729	1.5064509802459438	3.228123106205636	0.761786599144366	0.5231226455333156	0.05104653821391669	2.897906923572167	5.020689093985715	0.6498606495673084	4.9287372484953735	0.6176489867640997	-0.005635418177851644	-12017.888913301156	-9861.640471379296	-14.243000333853406
300000	-22115.788254880248	-246.19428195809937	-21869.59397292215	1.6007838208930345	0.9870813947582716	0.16631228869298084	2.0973700242574314	1.5434988172246091	3.2756541308128706	0.9835555111169821	0.5395015241945204	0.05104653821391669	2.897906923572167	4.533841038585057	0.6638666727851884	4.7343794191556245	0.722201271896024	0.03018673684168533	-12009.060194738582	-9860.533778183568	-12.224966474447776
310000	-22131.064001817802	-247.74962172548965	-21883.314380092314	1.944168487020412	0.9942918840154579	0.16428385278030985	1.6504264991329285	1.5266696815816674	3.1484700995273944	0.8848935288896437	0.5395015241945204	0.05346737460915717	2.893065250781686	4.243162566498422	0.6907759371639509	4.460662321417714	0.7213292268692166	-0.07850997100504341	-12026.142993328649	-9857.171386763664	-14.618278178183754
320000	-22135.593933329765	-250.34566460941352	-21885.248268720352	1.9647317743374584	1.0103690147687494	0.18551780540280774	1.7147013270157447	1.4426537288165744	3.1654106006934715	0.8222787922314139	0.5395015241945204	0.05346737460915717	2.893065250781686	4.151318054336437	0.6489907887722771	4.235385179829943	0.6640917159854365	0.08685119880109737	-12026.420745195677	-9858.827523524677	-17.101432512018704
330000	-22131.768080883758	-253.12982833224513	-21878.63825255151	2.0322144834164546	0.974708030778786	0.12303732718000397	1.5514718913507533	1.4602596416535991	3.0161799637200026	0.7946104547355459	0.5395015241945204	0.05346737460915717	2.893065250781686	4.082818756213013	0.5677416897812937	4.167371530212937	0.6202668974303002	0.23432446038017885	-12010.150953008737	-9868.487299542774	-17.53440076189543
340000	-22128.136715246314	-251.67808537761383	-21876.4586298687	2.309386992737633	1.0015573912116442	0.13895016482695727	1.6583940245687012	1.4602596416535991	3.2262428193057704	0.8716298245791969	0.53920714221282	0.05346737460915717	2.893065250781686	4.26763795575606	0.5581023580791175	4.013010210957855	0.6308333655399171	0.2345070093063423	-12011.685579014415	-9864.773050854283	-19.11323099573485
350000	-22141.479680123575	-252.78100809714957	-21888.698672026425	2.661011453178863	1.0037528157236766	0.1193370555428492	1.6950672865786052	1.3646940980217854	3.2013947012426978	0.8521777220183553	0.53920714221282	0.054590082361913275	2.8908198352761736	3.848202385197815	0.5176170953743735	3.8205191632787345	0.5462146943457613	0.1927498019843564	-12018.572374403935	-9870.12629762249	-20.3630442653377
360000	-22130.860695607167	-251.43570536356236	-21879.424990243606	2.3939023189012874	1.010586639094108	0.13550442746069644	1.5823458682764544	1.4998745249655936	3.2013947012426978	0.8242121649495612	0.5423857861127159	0.054815153849563966	2.8903696923008724	3.76801123331499	0.4894349110747441	4.027381124334112	0.5484106966991404	0.10887519120928338	-12021.963888140936	-9857.461102102672	-18.6016773204447
370000	-22142.80431522426	-255.89720568436746	-21886.907109539894	2.7530026057702366	1.000042581539618	0.16423208922294566	1.1747305147082068	1.3215749524343556	3.2013947012426978	0.8909495111910927	0.5423857861127159	0.054815153849563966	2.8903696923008724	3.6046391928780204	0.4891618220213313	3.7093487472817985	0.5772968823916736	0.09105370921928944	-12021.15696881585	-9865.750140724043	-23.574024646894653
380000	-22138.010335203697	-257.3998139585528	-21880.610521245144	2.4206872156037944	0.9812589031958635	0.14386635103021211	1.614934369116611	1.391079015049809	2.914963874193022	0.7941224684377541	0.5423857861127159	0.05948950113291589	2.8810209977341685	3.290047532638583	0.45843660725882235	3.4079181638197	0.48274701868003045	0.03927320236908491	-12002.720590729714	-9877.88993051543	-23.6735749736116
390000	-22148.639244840368	-259.1350137744413	-21889.504231065926	2.7298844021007316	1.0145947022586002	0.15129064772169482	1.2897896030906348	1.4984169094290196	3.0331563438642455	0.8871908598452551	0.5423857861127159	0.06008971178565074	2.879820576428699	3.1425670014901774	0.4222045214711312	3.2191720138375794	0.4396818369502944	-0.00902821766879221	-12021.490017999633	-9868.014213066295	-25.93490707074372
400000	-22157.848272394254	-261.0496831864391	-21896.798589207814	2.9196250121473586	1.0006022604957694	0.14121321711021664	1.019997360849925	1.377754338530517	3.387148045547416	0.7771760647853534	0.5526114144074754	0.06008971178565074	2.879820576428699	3.077942932492598	0.4657939139877322	2.970924801226541	0.4754359426671103	0.028400599849627235	-12021.410374872023	-9875.388214335793	-28.914763587447943
410000	-22154.853066885018	-262.5441676632519	-21892.308899221767	3.228757257937514	1.0000797614531811	0.12259852293370284	1.4797827841981532	1.4997619894742225	3.0206684748891344	0.8941510337362812	0.5526114144074754	0.060244378947623536	2.8795112421047535	2.830116590648561	0.49491612451554234	2.6819998336073176	0.4782247893037695	0.15818185113908165	-12035.235060984869	-9857.073838236896	-30.16667915532959
420000	-22142.951697220113	-262.19485190463234	-21880.75684531548	3.1832278765326967	1.005213333876464	0.1665347849256563	1.5456303941490892	1.3889033034650553	3.1290911160275345	0.9561560473555712	0.5526114144074754	0.057868644058073335	2.8842627118838537	2.712703076251283	0.5382925740731874	2.792515055175736	0.4623632543547446	0.011653208834918816	-12010.925650455923	-9869.831194859558	-29.428021294106514
430000	-22139.680654989654	-261.38371000067167	-21878.296944988982	2.9316331098802713	1.003955402063838	0.12593737628429064	1.0927748110045676	1.4137860058290592	3.1232502232145944	0.9485310250983482	0.5526114144074754	0.055945829639803143	2.888108340720394	3.120306891408948	0.5028640375334277	3.0523478491959364	0.449483785423249	0.09620536506035295	-12017.35152723889	-9860.945417750092	-28.789373642126797
440000	-22143.061440228503	-263.0177270967945	-21880.04371313171	3.926467318275152	1.007682228044898	0.11675597828454765	1.370691026335731	1.4029887890514452	3.262541043343271	0.7942189922643489	0.5572697904704232	0.05825716129431824	2.8834856774113637	2.9475939721596687	0.47787586879244814	2.707430375926759	0.4819100785128824	-0.11774961960511687	-12007.62301845997	-9872.420694671739	-30.533511002199887
450000	-22138.03731832846	-262.68562092108334	-21875.35169740738	3.2690984985071676	1.0054036576547805	0.10099483813487543	1.0848414910853732	1.4616984755862164	3.344992644975911	0.8355574153186178	0.5617785951945538	0.06148364062436376	2.877032718751273	2.854826566929944	0.45395661639787316	2.6495907606881293	0.49441203129467864	-0.01988930356215724	-12008.324946148625	-9867.026751258754	-30.280231163536804
460000	-22154.27771736129	-267.3100111106229	-21886.967706250667	3.7945292787480818	0.9950016258729376	0.153355003991609	1.180479429663357	1.4876100503669236	3.205901289843578	0.9076412715664258	0.5676068575256809	0.06365341763889477	2.872693164722211	2.364063940059817	0.4276583622956557	2.217095789945583	0.5071807859635842	-0.14118997703006275	-12034.366648623685	-9852.601057626984	-34.899798125862375
470000	-22149.13201918188	-268.3476242533037	-21880.784394928578	3.724441709334454	1.0072148422530656	0.11599814892746896	1.226629854940599	1.4662322128895435	3.0841256604961838	0.9880562489289829	0.5676068575256809	0.060709342393997126	2.8785813152120063	2.277946786705333	0.4729791466502623	2.272555139020028	0.5179508951585386	-0.12816742248326649	-12028.626483366075	-9852.157911562503	-35.54061852967964
480000	-22144.011527049337	-267.80937855235925	-21876.202148496977	4.4320248535773645	0.9941537175208616	0.09690110626915187	1.1523497378565604	1.3727303947102683	3.106955361475127	0.8234249202342172	0.5676068575256809	0.05919167093529028	2.88161665812942	2.2982971240511767	0.49921834229355966	2.134815768773135	0.5517255765354896	-0.13075089852070063	-12016.968388302128	-9859.23376019485	-35.38948435523084
490000	-22140.42113012869	-267.1584250355528	-21873.262705093137	4.80082933718891	1.005549326132552	0.09218756583870884	1.037189169157196	1.4176922281053028	3.139666023230923	0.8243898162803075	0.5743872165807016	0.0624062486669827	2.8751875026660354	2.610880731568216	0.5454121913209343	2.219881191467373	0.6363417301167488	-0.17243646576617247	-12032.119171033226	-9841.143534059911	-34.55626406574159
500000	-22140.1312375553	-267.72865418323335	-21872.402583372066	4.065931159179981	0.9779734755625172	0.09450320267671107	1.1517011965255286	1.4176922281053028	3.211650547393641	0.9486148231621035	0.5743872165807016	0.06990773069893907	2.8601845386021227	2.470811816753394	0.49149254791536684	2.2786349953277227	0.5994764857194423	0.008895495714796968	-12025.820959317814	-9846.58162405425	-32.729340749482596
510000	-22149.507623490856	-264.6758937070417	-21884.831729783815	3.4605346523026532	1.0026246940247137	0.10371920905679322	1.0770244015222428	1.5176131147714549	3.211650547393641	1.052371885897413	0.5743872165807016	0.06753562541883625	2.8649287491623285	2.687231089563798	0.558823899764237	2.45155205652706	0.47791930663899584	0.14364509135567535	-12021.741681211259	-9863.090048572556	-31.634531356216314
520000	-22137.083241429445	-261.6990326143517	-21875.384208815092	2.962057946027464	0.9977495553754953	0.12215403551590175	1.4615548999402388	1.4629300109823737	3.0079713869402123	0.8816198116543809	0.5743872165807016	0.06659254875204716	2.8668149024959066	2.824070288097803	0.5234093723271912	2.4376241158027803	0.5540951517005416	0.10274788766921056	-12029.878803095547	-9845.505405719547	-29.215420969278583
