# BEAST v1.7.0 Prerelease r4143, r4143
# Generated Wed Jul 26 15:53:27 BST 2017 [seed=1501080806070]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(paralog_vret)	tmrca(vret_obsr)	yule.birthRate	CP1+2.kappa	CP3.kappa	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	speciation
450000	-39706.99782061699	-271.9938701458413	-39435.00395047115	2.5122504299509463	1.0784721000908501	0.9828260501779594	1.8481313070085705	1.8975450843260284	3.3849285847949337	0.8863687472403969	4.602963551162001	0.6433727437624949	1.7132545124750103	0.21453590125401104	0.4405379822064692	0.21032403602367822	0.39564291623986886	-0.043298946518750416	-20689.545529198134	-18745.45842127302	-29.930943170413165
460000	-39695.85985335398	-271.9455030381768	-39423.9143503158	2.6196026853248	1.0893243943135262	0.9903137623718492	1.0441553947591555	1.8975450843260284	3.155432558358931	0.8944906578090296	4.939486381661757	0.607183216359287	1.785633567281426	0.2086379541286835	0.4291225202411283	0.20228933607122349	0.43697346859521635	-0.07649440280602987	-20698.544973713157	-18725.369376602637	-30.321387514847302
470000	-39695.51157946034	-270.36557700697716	-39425.146002453366	2.553403090162819	1.1038741022195997	1.0100117353523603	1.6032396382995031	1.8025738785585568	3.1834473510455514	0.9093296218875073	4.796039395210578	0.620438708918463	1.759122582163074	0.2004144804054991	0.3775593225287706	0.2084888119788454	0.36455132828968706	0.1435462057224186	-20690.320814097005	-18734.82518835636	-29.130304983593383
480000	-39695.293353735695	-272.27621780486373	-39423.01713593083	2.8361089513348174	1.2699731317655716	1.0074198857966692	1.456530305207371	2.0258836095855113	3.4175413810575894	0.8782945655996693	5.7341673741844295	0.6133861286372422	1.7732277427255156	0.20034176148743538	0.3629028887434731	0.20468379704105924	0.3633837622306262	0.20620549670099417	-20693.675287073358	-18729.34184885747	-29.32734866988651
490000	-39701.78050003038	-275.98506855005996	-39425.79543148032	3.589992054633831	1.493400934345473	0.9952321506609592	1.4490499028431876	1.9394965658134649	3.2848185727019525	0.9111896040131975	5.48592721318365	0.6448248162045692	1.7103503675908616	0.169686764327968	0.454320504267146	0.1836498153790815	0.4040659197195829	0.14566785381507907	-20710.47019022698	-18715.325241253337	-33.44961463788651
500000	-39699.03983827051	-271.41349016277775	-39427.62634810773	2.791856121105473	1.0794370952967773	1.0055814126682971	1.5015244754769732	1.8134902696857984	2.988387356015657	0.8589781493264921	3.887115920351267	0.6154195902806133	1.7691608194387733	0.17178036765924623	0.39041438339270346	0.185853156989793	0.36624119472795813	0.1516237174775909	-20701.262706781803	-18726.36364132593	-32.469985053733126
510000	-39703.14903302578	-275.718333418613	-39427.43069960717	3.02328604320007	1.0865791930929447	0.9979539305473457	1.1295070528291467	1.7863960279231044	2.988387356015657	0.8589781493264921	5.395672106485622	0.6378562428577872	1.7242875142844256	0.16644522281947816	0.3954823383053165	0.17679225321793632	0.36304576605492794	0.0262908589664664	-20718.402249372142	-18709.028450235026	-33.89893542738275
520000	-39709.07063086438	-278.3117714104699	-39430.75885945391	3.4771101819654193	1.1293147319502164	0.9903237271932349	1.0379959273045671	1.7927737035557563	3.065749208822005	0.9537447724423382	4.833984846771848	0.6190908232503688	1.7618183534992624	0.1623347743391147	0.38164673962353496	0.1648494211232222	0.36076653684185844	0.0819081345724074	-20706.41067597024	-18724.348183483675	-36.99756041845878
530000	-39710.5439745355	-280.06926900135704	-39430.47470553414	3.522238156212471	1.0951918444057203	0.9839033541799407	0.8166959030171979	1.8976602310888928	3.070867802696247	0.8336334970325268	5.254347082087414	0.6471698517021126	1.7056602965957748	0.1758367796071209	0.42520850743876026	0.18160070107606613	0.423716592414286	0.012129456157113227	-20718.34446891852	-18712.130236615627	-37.14512986808144
540000	-39700.48797303674	-276.8026413047773	-39423.68533173196	3.439023458771901	1.1444674424379984	1.004138309291224	0.9832123048454688	1.882391067395753	3.2799149077118037	0.8940094962820935	5.238143999119388	0.6214132991971486	1.7571734016057028	0.16855233150858093	0.4445270965791657	0.17360516935480622	0.47037049723314195	-0.019653173707723928	-20706.62683060169	-18717.058501130272	-34.86687934729569
